COMPLAINT_ID,ORDER_ID,CUSTOMER_COMPLAINT,TRUE_ISSUE
CMP000001,ORD000001,"Paytm shows refund initiated for ₹12,798 but my passbook has no credit entry after 54 hours.",Refund Pending
CMP000002,ORD000002,"I'm a merchant — successful NetBanking payments of ₹22,427 from 14 days ago still show settlement pending in my dashboard.",Settlement Delay
CMP000003,ORD000003,"I panicked earlier but ₹7,186 UPI payment went through fine for ORD6427 — bank and app both show success now.",Normal Success
CMP000004,ORD000004,"Money got deducted from my account — ₹12,637 via Card — but merchant dashboard still shows unpaid. This is ridiculous, it's been 10 days.",Amount Debited but Merchant Not Credited
CMP000005,ORD000005,"Txn shows success on my side for ₹3,234 (UPI) yet the shop didn't get the credit. Customer care at the store is asking me to pay again.",Amount Debited but Merchant Not Credited
CMP000006,ORD000006,"Everything looks fine: ₹20,737 debited on Wallet, order delivered 3 days ago. Store confirmed payment received. No complaint really.",Normal Success
CMP000007,ORD000007,I have the debit SMS for ₹414 on UPI but order ORD4395 is stuck because seller says amount not credited to them.,Amount Debited but Merchant Not Credited
CMP000008,ORD000008,"You guys initiated a refund for ₹23,670 on Card 10 days ago but I still don't see it in my bank account.",Refund Pending
CMP000009,ORD000009,"Failed payment on ₹16,653 (NetBanking) for ORD9959 but amount looks blocked in my UPI app. Will it come back?",Failed Payment
CMP000010,ORD000010,"Still waiting on ₹24,555 refund from ORD6890. App says initiated, bank says no incoming credit on UPI.",Refund Pending
CMP000011,ORD000011,"Customer disputed ₹1,977 via bank — reason merchandise not received. I have delivery proof for ORD9725 though.",Chargeback / Dispute
CMP000012,ORD000012,"Status shows refund completed for ₹8,152 yet my NetBanking balance is unchanged. What reference number should I give my bank?",Refund Completed
CMP000013,ORD000013,"Our daily reconciliation has a ₹23,277 variance on ORD9979 date. Ledger says success but settlement file missing that txn.",Reconciliation Mismatch
CMP000014,ORD000014,"Payment failed for ₹7,494 on Card but I got a debit SMS anyway for order ORD5382. Please check.",Failed Payment
CMP000015,ORD000015,"Money got deducted from my account — ₹3,151 via Wallet — but merchant dashboard still shows unpaid. This is ridiculous, it's been 14 days.",Amount Debited but Merchant Not Credited
CMP000016,ORD000016,"Txn shows success on my side for ₹12,072 (Wallet) yet the shop didn't get the credit. Customer care at the store is asking me to pay again.",Amount Debited but Merchant Not Credited
CMP000017,ORD000017,"Merchant here: multiple UPI txns totaling around ₹17,395 are credited to customers but settlement to my bank is delayed 12 days.",Settlement Delay
CMP000018,ORD000018,"Visa chargeback opened on ₹9,973 payment. Merchant account shows reversal debit — what's the dispute case ID?",Chargeback / Dispute
CMP000019,ORD000019,"Why is my ₹17,989 UPI payment still pending after 65 hours? I'm scared I'll get charged twice if I retry.",UPI Pending
CMP000020,ORD000020,"Money got deducted from my account — ₹6,804 via Wallet — but merchant dashboard still shows unpaid. This is ridiculous, it's been 14 days.",Amount Debited but Merchant Not Credited
CMP000021,ORD000021,"I was told refund of ₹19,532 is on the way via NetBanking — it's been 11 days. Where is my money?",Refund Pending
CMP000022,ORD000022,"Paytm shows refund initiated for ₹4,285 but my passbook has no credit entry after 34 hours.",Refund Pending
CMP000023,ORD000023,"Failed payment on ₹11,241 (Wallet) for ORD5616 but amount looks blocked in my UPI app. Will it come back?",Failed Payment
CMP000024,ORD000024,"Status shows refund completed for ₹19,636 yet my UPI balance is unchanged. What reference number should I give my bank?",Refund Completed
CMP000025,ORD000025,"Txn successful for ₹23,049, merchant credited, settlement settled on their end. Customer just checking status is normal.",Normal Success
CMP000026,ORD000026,"I was charged twice for the same order ORD9398 — two debits of ₹11,994 on Card within 48 minutes!",Duplicate Debit
CMP000027,ORD000027,"You claim ₹6,517 refund is done via Wallet but I swear nothing hit my account in 14 days. Prove it landed.",Refund Completed
CMP000028,ORD000028,"I paid ₹13,291 through Wallet for order ORD6140 but the seller says payment never reached them. My bank already debited it 17 hours ago!",Amount Debited but Merchant Not Credited
CMP000029,ORD000029,"Our daily reconciliation has a ₹14,071 variance on ORD9147 date. Ledger says success but settlement file missing that txn.",Reconciliation Mismatch
CMP000030,ORD000030,"Please help! ₹10,349 left my NetBanking account for ORD7608 and the merchant insists they haven't received anything since 23 hours.",Amount Debited but Merchant Not Credited
CMP000031,ORD000031,"My bank raised a dispute on ₹10,126 Wallet charge for order ORD1396 — merchant says they'll fight the chargeback.",Chargeback / Dispute
CMP000032,ORD000032,"UPI txn for ₹21,282 is still pending in my bank app since yesterday. Merchant hasn't confirmed order ORD3749 either.",UPI Pending
CMP000033,ORD000033,"Please help! ₹16,796 left my Card account for ORD0162 and the merchant insists they haven't received anything since 47 hours.",Amount Debited but Merchant Not Credited
CMP000034,ORD000034,"I filed a chargeback with my card issuer for ₹18,385 because goods never arrived. Paytm merchant is contesting it.",Chargeback / Dispute
CMP000035,ORD000035,"Paytm shows refund initiated for ₹4,896 but my passbook has no credit entry after 5 hours.",Refund Pending
CMP000036,ORD000036,"I was told refund of ₹12,269 is on the way via Card — it's been 10 days. Where is my money?",Refund Pending
CMP000037,ORD000037,"Still waiting on ₹14,623 refund from ORD8044. App says initiated, bank says no incoming credit on NetBanking.",Refund Pending
CMP000038,ORD000038,"I paid ₹3,020 through NetBanking for order ORD0555 but the seller says payment never reached them. My bank already debited it 33 hours ago!",Amount Debited but Merchant Not Credited
CMP000039,ORD000039,"Status shows refund completed for ₹19,624 yet my Card balance is unchanged. What reference number should I give my bank?",Refund Completed
CMP000040,ORD000040,"I'm a merchant — successful UPI payments of ₹11,082 from 2 days ago still show settlement pending in my dashboard.",Settlement Delay
CMP000041,ORD000041,"Refund status says initiated for order ORD5316 (₹23,140) but nothing has come back to my Card yet. Getting impatient.",Refund Pending
