CASE_ID,ISSUE,COMPLAINT,RESOLUTION_SUMMARY,OUTCOME,AGE_HOURS,PAYMENT_MODE,TXN_AMOUNT,RESOLUTION_TIMESTAMP,RATING
CASE000001,UPI Pending,"UPI txn for ₹24,330 is still pending in my bank app since yesterday. Merchant hasn't confirmed order ORD2683 either.","Agent checked UPI switch status and found the txn stuck in PENDING beyond the 48-hour threshold. Initiated NPCI auto-reversal; ₹24,330 was returned to the customer's UPI account within one business day of reversal confirmation.",Resolved - Auto Reversal,222,UPI,6985.44,2026-06-10T11:17:16,helpful
CASE000002,UPI Pending,"UPI txn for ₹4,149 is still pending in my bank app since yesterday. Merchant hasn't confirmed order ORD2966 either.","Agent checked UPI switch status and found the txn stuck in PENDING beyond the 48-hour threshold. Initiated NPCI auto-reversal; ₹4,149 was returned to the customer's Wallet account within one business day of reversal confirmation.",Resolved - Auto Reversal,177,Wallet,17131.13,2026-06-12T15:17:16,not_helpful
CASE000003,UPI Pending,"My UPI payment of ₹5,802 has been showing 'processing' for 42 hours now. Should I try again or wait?","Support escalated to switch ops after 29 hours in pending state. NPCI reversal was triggered and the customer's UPI passbook showed the ₹5,802 credit within the standard T+1 reversal timeline.",Resolved - Auto Reversal,36,UPI,18687.99,2026-06-18T07:17:16,helpful
CASE000004,Amount Debited but Merchant Not Credited,"I paid ₹9,113 through NetBanking for order ORD0016 but the seller says payment never reached them. My bank already debited it 67 hours ago!","Support traced the debit to a late merchant settlement posting. Issued a manual credit instruction to the payment aggregator and reconciled the ₹9,113 NetBanking entry within the 24-hour NPCI dispute window. Merchant dashboard updated to paid and the ticket was closed.",Resolved - Manual Credit,221,NetBanking,17058.67,2026-06-10T11:17:16,helpful
CASE000005,Amount Debited but Merchant Not Credited,"Money got deducted from my account — ₹19,237 via Wallet — but merchant dashboard still shows unpaid. This is ridiculous, it's been 5 days.","Support traced the debit to a late merchant settlement posting. Issued a manual credit instruction to the payment aggregator and reconciled the ₹19,237 Wallet entry within the 24-hour NPCI dispute window. Merchant dashboard updated to paid and the ticket was closed.",Resolved - Manual Credit,164,Wallet,3863.34,2026-06-13T04:17:16,helpful
CASE000006,Duplicate Debit,"Please reverse the extra ₹15,013 charge — I accidentally paid twice when the first UPI attempt hung for 4 hours.","Two SUCCESS debits were posted for order ORD9040 within 32 minutes on UPI. Agent initiated auto-reversal on the duplicate leg and ₹15,013 was credited back within NPCI T+1 timeline.",Resolved - Auto Reversal,195,UPI,3253.37,2026-06-11T21:17:16,helpful
CASE000007,UPI Pending,"Why is my ₹6,699 UPI payment still pending after 56 hours? I'm scared I'll get charged twice if I retry.","Support escalated to switch ops after 49 hours in pending state. NPCI reversal was triggered and the customer's Card passbook showed the ₹6,699 credit within the standard T+1 reversal timeline.",Resolved - Auto Reversal,6,Card,14731.58,2026-06-19T14:17:16,helpful
CASE000008,Amount Debited but Merchant Not Credited,"I paid ₹5,800 through UPI for order ORD5245 but the seller says payment never reached them. My bank already debited it 44 hours ago!","Support traced the debit to a late merchant settlement posting. Issued a manual credit instruction to the payment aggregator and reconciled the ₹5,800 UPI entry within the 24-hour NPCI dispute window. Merchant dashboard updated to paid and the ticket was closed.",Resolved - Auto Reversal,91,UPI,11702.27,2026-06-16T03:17:16,helpful
CASE000009,Refund Pending,"Still waiting on ₹1,608 refund from ORD8214. App says initiated, bank says no incoming credit on UPI.","Agent confirmed refund was stuck at INITIATED with no bank posting. Reprocessed the ₹1,608 UPI refund with updated RRN; customer passbook reflected the credit after issuer reconciliation.",Resolved - Refund Processed,220,UPI,1312.18,2026-06-10T20:17:16,not_helpful
CASE000010,UPI Pending,"My UPI payment of ₹24,227 has been showing 'processing' for 23 hours now. Should I try again or wait?","Support escalated to switch ops after 2 hours in pending state. NPCI reversal was triggered and the customer's UPI passbook showed the ₹24,227 credit within the standard T+1 reversal timeline.",Resolved - Auto Reversal,188,UPI,3912.18,2026-06-12T04:17:16,helpful
CASE000011,Refund Pending,"Still waiting on ₹14,521 refund from ORD3049. App says initiated, bank says no incoming credit on UPI.","Refund ARN had not propagated to the issuer for 9 days. L1 re-triggered the refund API with the correct beneficiary VPA; the bank posted ₹14,521 on the T+3 NPCI credit window.",Resolved - Refund Processed,61,UPI,23542.82,2026-06-17T09:17:16,helpful
CASE000012,UPI Pending,"UPI txn for ₹15,522 is still pending in my bank app since yesterday. Merchant hasn't confirmed order ORD9272 either.","Support escalated to switch ops after 18 hours in pending state. NPCI reversal was triggered and the customer's UPI passbook showed the ₹15,522 credit within the standard T+1 reversal timeline.",Resolved - Auto Reversal,3,UPI,1877.85,2026-06-19T14:17:16,helpful
CASE000013,Amount Debited but Merchant Not Credited,"Money got deducted from my account — ₹3,397 via Wallet — but merchant dashboard still shows unpaid. This is ridiculous, it's been 4 days.","Agent verified NPCI switch logs showed SUCCESS while merchant PG settlement was still pending. Raised manual credit to acquirer for ₹3,397 Wallet txn; merchant nodal account was credited after T+1 bank reconciliation. Customer confirmed the shop received payment on follow-up call.",Resolved - Manual Credit,228,Wallet,6845.09,2026-06-10T05:17:16,helpful
CASE000014,Amount Debited but Merchant Not Credited,"Txn shows success on my side for ₹5,169 (Wallet) yet the shop didn't get the credit. Customer care at the store is asking me to pay again.","Support traced the debit to a late merchant settlement posting. Issued a manual credit instruction to the payment aggregator and reconciled the ₹5,169 Wallet entry within the 24-hour NPCI dispute window. Merchant dashboard updated to paid and the ticket was closed.",Resolved - Auto Reversal,190,Wallet,14044.63,2026-06-12T01:17:16,helpful
CASE000015,Refund Completed,"Status shows refund completed for ₹13,684 yet my Card balance is unchanged. What reference number should I give my bank?","Customer could not locate the refund in passbook despite COMPLETED status. Agent shared NPCI RRN and bank confirmed delayed posting; ₹13,684 Card credit appeared after the next reconciliation cycle.",Resolved - Refund Processed,224,Card,23147.81,2026-06-10T14:17:16,helpful
CASE000016,Failed Payment,"Payment failed for ₹24,407 on Card but I got a debit SMS anyway for order ORD1974. Please check.","Txn failed at switch but a transient debit hold appeared on the customer's Card account. Agent confirmed no merchant credit and the ₹24,407 hold auto-released within the bank's 24-hour reconciliation window.",Resolved - Auto Reversal,57,Card,8773.98,2026-06-17T10:17:16,not_helpful
